index,go_id,namespace
0,GO:0000049,MFO
1,GO:0000166,MFO
2,GO:0000175,MFO
3,GO:0000287,MFO
4,GO:0000976,MFO
5,GO:0000977,MFO
6,GO:0000978,MFO
7,GO:0000981,MFO
8,GO:0000987,MFO
9,GO:0001067,MFO
10,GO:0001216,MFO
11,GO:0001217,MFO
12,GO:0001227,MFO
13,GO:0001228,MFO
14,GO:0001664,MFO
15,GO:0002020,MFO
16,GO:0002039,MFO
17,GO:0002161,MFO
18,GO:0003674,MFO
19,GO:0003676,MFO
20,GO:0003677,MFO
21,GO:0003682,MFO
22,GO:0003690,MFO
23,GO:0003697,MFO
24,GO:0003700,MFO
25,GO:0003712,MFO
26,GO:0003713,MFO
27,GO:0003714,MFO
28,GO:0003723,MFO
29,GO:0003724,MFO
30,GO:0003725,MFO
31,GO:0003727,MFO
32,GO:0003729,MFO
33,GO:0003735,MFO
34,GO:0003755,MFO
35,GO:0003779,MFO
36,GO:0003824,MFO
37,GO:0003887,MFO
38,GO:0003924,MFO
39,GO:0003968,MFO
40,GO:0004175,MFO
41,GO:0004180,MFO
42,GO:0004185,MFO
43,GO:0004197,MFO
44,GO:0004252,MFO
45,GO:0004315,MFO
46,GO:0004386,MFO
47,GO:0004482,MFO
48,GO:0004483,MFO
49,GO:0004497,MFO
50,GO:0004518,MFO
51,GO:0004519,MFO
52,GO:0004520,MFO
53,GO:0004521,MFO
54,GO:0004527,MFO
55,GO:0004532,MFO
56,GO:0004536,MFO
57,GO:0004540,MFO
58,GO:0004553,MFO
59,GO:0004601,MFO
60,GO:0004659,MFO
61,GO:0004672,MFO
62,GO:0004674,MFO
63,GO:0004713,MFO
64,GO:0004812,MFO
65,GO:0004842,MFO
66,GO:0004843,MFO
67,GO:0004857,MFO
68,GO:0004860,MFO
69,GO:0004866,MFO
70,GO:0004867,MFO
71,GO:0005102,MFO
72,GO:0005126,MFO
73,GO:0005178,MFO
74,GO:0005198,MFO
75,GO:0005201,MFO
76,GO:0005215,MFO
77,GO:0005216,MFO
78,GO:0005261,MFO
79,GO:0005319,MFO
80,GO:0005488,MFO
81,GO:0005496,MFO
82,GO:0005506,MFO
83,GO:0005507,MFO
84,GO:0005509,MFO
85,GO:0005515,MFO
86,GO:0005524,MFO
87,GO:0005525,MFO
88,GO:0005539,MFO
89,GO:0005543,MFO
90,GO:0005546,MFO
91,GO:0008017,MFO
92,GO:0008047,MFO
93,GO:0008083,MFO
94,GO:0008092,MFO
95,GO:0008094,MFO
96,GO:0008134,MFO
97,GO:0008168,MFO
98,GO:0008170,MFO
99,GO:0008171,MFO
100,GO:0008173,MFO
101,GO:0008174,MFO
102,GO:0008186,MFO
103,GO:0008201,MFO
104,GO:0008233,MFO
105,GO:0008234,MFO
106,GO:0008236,MFO
107,GO:0008237,MFO
108,GO:0008238,MFO
109,GO:0008242,MFO
110,GO:0008270,MFO
111,GO:0008276,MFO
112,GO:0008289,MFO
113,GO:0008324,MFO
114,GO:0008408,MFO
115,GO:0008757,MFO
116,GO:0008901,MFO
117,GO:0009002,MFO
118,GO:0009055,MFO
119,GO:0015075,MFO
120,GO:0015078,MFO
121,GO:0015252,MFO
122,GO:0015267,MFO
123,GO:0015399,MFO
124,GO:0015631,MFO
125,GO:0016151,MFO
126,GO:0016209,MFO
127,GO:0016247,MFO
128,GO:0016298,MFO
129,GO:0016301,MFO
130,GO:0016407,MFO
131,GO:0016410,MFO
132,GO:0016462,MFO
133,GO:0016491,MFO
134,GO:0016614,MFO
135,GO:0016616,MFO
136,GO:0016625,MFO
137,GO:0016627,MFO
138,GO:0016661,MFO
139,GO:0016667,MFO
140,GO:0016684,MFO
141,GO:0016695,MFO
142,GO:0016699,MFO
143,GO:0016701,MFO
144,GO:0016702,MFO
145,GO:0016705,MFO
146,GO:0016740,MFO
147,GO:0016741,MFO
148,GO:0016746,MFO
149,GO:0016747,MFO
150,GO:0016755,MFO
151,GO:0016757,MFO
152,GO:0016758,MFO
153,GO:0016763,MFO
154,GO:0016765,MFO
155,GO:0016772,MFO
156,GO:0016773,MFO
157,GO:0016775,MFO
158,GO:0016779,MFO
159,GO:0016787,MFO
160,GO:0016788,MFO
161,GO:0016791,MFO
162,GO:0016798,MFO
163,GO:0016799,MFO
164,GO:0016810,MFO
165,GO:0016811,MFO
166,GO:0016812,MFO
167,GO:0016817,MFO
168,GO:0016818,MFO
169,GO:0016829,MFO
170,GO:0016830,MFO
171,GO:0016831,MFO
172,GO:0016835,MFO
173,GO:0016836,MFO
174,GO:0016849,MFO
175,GO:0016853,MFO
176,GO:0016859,MFO
177,GO:0016860,MFO
178,GO:0016866,MFO
179,GO:0016868,MFO
180,GO:0016874,MFO
181,GO:0016875,MFO
182,GO:0016879,MFO
183,GO:0016881,MFO
184,GO:0016887,MFO
185,GO:0016891,MFO
186,GO:0016896,MFO
187,GO:0016903,MFO
188,GO:0017076,MFO
189,GO:0017111,MFO
190,GO:0017171,MFO
191,GO:0019001,MFO
192,GO:0019104,MFO
193,GO:0019207,MFO
194,GO:0019209,MFO
195,GO:0019210,MFO
196,GO:0019783,MFO
197,GO:0019787,MFO
198,GO:0019829,MFO
199,GO:0019838,MFO
200,GO:0019842,MFO
201,GO:0019843,MFO
202,GO:0019887,MFO
203,GO:0019899,MFO
204,GO:0019900,MFO
205,GO:0019901,MFO
206,GO:0019904,MFO
207,GO:0019955,MFO
208,GO:0020037,MFO
209,GO:0022803,MFO
210,GO:0022804,MFO
211,GO:0022853,MFO
212,GO:0022857,MFO
213,GO:0030145,MFO
214,GO:0030234,MFO
215,GO:0030246,MFO
216,GO:0030291,MFO
217,GO:0030295,MFO
218,GO:0030414,MFO
219,GO:0030544,MFO
220,GO:0030545,MFO
221,GO:0030546,MFO
222,GO:0030551,MFO
223,GO:0030554,MFO
224,GO:0030674,MFO
225,GO:0030695,MFO
226,GO:0030971,MFO
227,GO:0031072,MFO
228,GO:0031406,MFO
229,GO:0031593,MFO
230,GO:0031625,MFO
231,GO:0032182,MFO
232,GO:0032553,MFO
233,GO:0032555,MFO
234,GO:0032559,MFO
235,GO:0032561,MFO
236,GO:0033218,MFO
237,GO:0033293,MFO
238,GO:0034061,MFO
239,GO:0034062,MFO
240,GO:0035091,MFO
241,GO:0035639,MFO
242,GO:0036094,MFO
243,GO:0038023,MFO
244,GO:0039660,MFO
245,GO:0042054,MFO
246,GO:0042277,MFO
247,GO:0042393,MFO
248,GO:0042578,MFO
249,GO:0042626,MFO
250,GO:0042802,MFO
251,GO:0042803,MFO
252,GO:0043021,MFO
253,GO:0043022,MFO
254,GO:0043130,MFO
255,GO:0043167,MFO
256,GO:0043168,MFO
257,GO:0043169,MFO
258,GO:0043177,MFO
259,GO:0043178,MFO
260,GO:0043394,MFO
261,GO:0043531,MFO
262,GO:0043565,MFO
263,GO:0044183,MFO
264,GO:0044325,MFO
265,GO:0044389,MFO
266,GO:0044877,MFO
267,GO:0045296,MFO
268,GO:0046332,MFO
269,GO:0046789,MFO
270,GO:0046812,MFO
271,GO:0046872,MFO
272,GO:0046873,MFO
273,GO:0046906,MFO
274,GO:0046914,MFO
275,GO:0046933,MFO
276,GO:0046982,MFO
277,GO:0046983,MFO
278,GO:0048018,MFO
279,GO:0048029,MFO
280,GO:0050660,MFO
281,GO:0050661,MFO
282,GO:0050839,MFO
283,GO:0051015,MFO
284,GO:0051082,MFO
285,GO:0051087,MFO
286,GO:0051117,MFO
287,GO:0051213,MFO
288,GO:0051219,MFO
289,GO:0051287,MFO
290,GO:0051536,MFO
291,GO:0051537,MFO
292,GO:0051538,MFO
293,GO:0051539,MFO
294,GO:0051540,MFO
295,GO:0052689,MFO
296,GO:0060089,MFO
297,GO:0060090,MFO
298,GO:0060589,MFO
299,GO:0061134,MFO
300,GO:0061135,MFO
301,GO:0061629,MFO
302,GO:0061630,MFO
303,GO:0061659,MFO
304,GO:0061783,MFO
305,GO:0070008,MFO
306,GO:0070492,MFO
307,GO:0070566,MFO
308,GO:0070851,MFO
309,GO:0072341,MFO
310,GO:0090729,MFO
311,GO:0097367,MFO
312,GO:0097747,MFO
313,GO:0098772,MFO
314,GO:0099106,MFO
315,GO:0101005,MFO
316,GO:0106310,MFO
317,GO:0120013,MFO
318,GO:0120543,MFO
319,GO:0120545,MFO
320,GO:0140030,MFO
321,GO:0140096,MFO
322,GO:0140097,MFO
323,GO:0140098,MFO
324,GO:0140101,MFO
325,GO:0140104,MFO
326,GO:0140110,MFO
327,GO:0140297,MFO
328,GO:0140299,MFO
329,GO:0140640,MFO
330,GO:0140657,MFO
331,GO:0140677,MFO
332,GO:0140678,MFO
333,GO:0140993,MFO
334,GO:0141108,MFO
335,GO:0160215,MFO
336,GO:0180051,MFO
337,GO:1901265,MFO
338,GO:1901363,MFO
339,GO:1901681,MFO
340,GO:1901981,MFO
341,GO:1902936,MFO
342,GO:1990782,MFO
343,GO:1990837,MFO
344,GO:0000018,BPO
345,GO:0000041,BPO
346,GO:0000045,BPO
347,GO:0000070,BPO
348,GO:0000075,BPO
349,GO:0000096,BPO
350,GO:0000122,BPO
351,GO:0000165,BPO
352,GO:0000209,BPO
353,GO:0000226,BPO
354,GO:0000270,BPO
355,GO:0000271,BPO
356,GO:0000272,BPO
357,GO:0000278,BPO
